Date,Open,High,Low,Close,Volume
2020-01-01,1199.0813434109607,1209.2704448722907,1191.082066065246,1200.4967141530112,2110205
2020-01-02,1199.9378045290748,1207.766136029382,1196.4974234738324,1200.35844985184,4473912
2020-01-03,1200.663423873414,1207.9762957998935,1191.3942327517016,1201.0061383899408,4638462
2020-01-04,1201.7268909771271,1209.5540090862198,1193.4756618267882,1202.5291682463487,1755195
2020-01-05,1202.1337291599593,1205.889926383823,1200.3371035237324,1202.2950148716254,3387312
2020-01-06,1202.4649287714908,1204.996796357321,1201.3672649059245,1202.0608779146762,4693976
2020-01-07,1205.5262766313942,1211.7337022849688,1202.6323107164094,1203.6400907301836,2868599
2020-01-08,1204.5821032721683,1212.5086594061283,1204.225307202821,1204.4075254593365,1213920
2020-01-09,1204.1956014641244,1212.6087742592026,1202.9936214658424,1203.9380510734015,4388532
2020-01-10,1204.4061652012215,1213.6130166425523,1197.650543382824,1204.4806111169876,2425541
2020-01-11,1202.098422208876,1209.1306174127844,1203.3053069395728,1204.017193424175,2509433
2020-01-12,1203.5249497951556,1208.5666266174767,1200.3617073676671,1203.5514636706048,2871403
2020-01-13,1203.8536561521119,1211.7763777318387,1195.3446728324764,1203.7934259421709,2553068
2020-01-14,1204.3433878099984,1208.3797850052908,1201.6474263401549,1201.8801456975132,1653983
2020-01-15,1199.962866900219,1207.1748966375771,1192.0105430391109,1200.1552278650001,2464492
2020-01-16,1199.8944876780927,1207.5508670301201,1196.774392588025,1199.592940335759,1821052
2020-01-17,1198.5453974457196,1207.4801626336005,1197.3984609392082,1198.5801092154247,2807150
2020-01-18,1197.7256785104005,1202.2743081165352,1191.9269848943784,1198.89435654802,3225300
2020-01-19,1199.1291552870139,1201.7421619988982,1191.6969040047,1197.9863324724988,2855567
2020-01-20,1197.3259618038503,1197.5138481695722,1187.7993086358929,1196.5740287711635,2534837
2020-01-21,1198.830709487128,1203.8224789500468,1190.688967102046,1198.039677540085,4501268
2020-01-22,1196.9045137848036,1198.1733239775658,1189.7790919357499,1197.8139012395984,4338442
2020-01-23,1199.2842237552225,1202.537409625611,1195.0610837185734,1197.8814294442864,1731899
2020-01-24,1195.0548301952806,1201.8831276051487,1194.6822858202756,1196.4566812580729,3381028
2020-01-25,1196.499155627348,1198.7777110548307,1188.406151017139,1195.9122985335478,1259747
2020-01-26,1198.2136767490676,1201.9315537289476,1187.954873730585,1196.0232211232576,1615650
2020-01-27,1193.8816912207046,1195.1772300452258,1184.9671761258287,1194.8722275458354,1423570
2020-01-28,1194.6816278345782,1195.6214074516731,1191.1217487950669,1195.247925564181,3373139
2020-01-29,1194.7469382393497,1202.8732924808587,1190.9271060163344,1194.6472868742621,2027512
2020-01-30,1193.8521174703526,1197.9574995385815,1186.5914635170489,1194.355593124469,3735505
2020-01-31,1192.2032230811733,1195.0244916387583,1190.3458511097092,1193.7538865122394,1858158
2020-02-01,1195.6747276715546,1200.8285972972965,1186.298591440713,1195.6061646967485,3114792
2020-02-02,1194.5303637582845,1203.2926030029967,1187.0085399535806,1195.5926674720106,1052528
2020-02-03,1195.0085489736896,1196.693166818023,1190.2450162693042,1194.5349565430545,2873421
2020-02-04,1194.438077220924,1201.5864062133478,1187.8487907772428,1195.3575014551577,3356366
2020-02-05,1195.6865922102043,1194.9901324551245,1186.59122906434,1194.1366578051868,2887646
2020-02-06,1193.5622681078553,1194.8623386118775,1193.3142827118322,1194.3455214001915,4067392
2020-02-07,1192.0637897601061,1197.6993975919931,1183.3603222095162,1192.3858512763118,3598260
2020-02-08,1191.871182444783,1196.4640164435143,1186.0051415029347,1191.0576652274133,3731573
2020-02-09,1190.0236621468484,1197.6288254782646,1182.989951802205,1191.2545264632824,2417077
2020-02-10,1192.2204529778821,1199.2539063805045,1188.7924970329718,1191.992993043278,2772802
2020-02-11,1193.4715040787503,1201.9228821190932,1183.2091290395058,1192.1643613244678,4295887
2020-02-12,1190.4412298075183,1197.2117165250916,1188.1566962547379,1192.0487130420795,4318230
2020-02-13,1191.9322432050226,1194.9771740759027,1191.6392328316872,1191.7476093464902,3252728
2020-02-14,1190.5289701503712,1198.22094930381,1181.2152675919301,1190.2690873561228,1924618
2020-02-15,1190.3310660195057,1192.257565660349,1188.636376379867,1189.5492431477282,3962443
2020-02-16,1187.8516536658904,1193.4783185838248,1185.8954680008642,1189.0886043767684,3983241
2020-02-17,1188.8252699899028,1190.93029041641,1180.6451069324792,1190.1457266029872,1928479
2020-02-18,1191.0112864581727,1190.7428523267101,1180.9832734231802,1190.4893448925557,2059599
2020-02-19,1189.0232894104263,1198.3527888839722,1182.99192585596,1188.726304737193,3642887
2020-02-20,1189.3008815569335,1197.4101899117097,1182.7320165848896,1189.0503887065877,3485195
2020-02-21,1189.0117546356685,1195.6250484871086,1184.1808512063883,1188.6653064261716,2334679
2020-02-22,1187.3083597042869,1192.0779138700082,1185.0562767088848,1187.9883844258654,1066203
2020-02-23,1188.8323144118674,1190.3330039154148,1185.3134152610073,1188.6000607147064,4002740
2020-02-24,1189.924132710501,1191.1954306639132,1182.9058756764318,1189.6310602372023,1160775
2020-02-25,1189.8479889382922,1193.0647693379647,1183.0385950619418,1190.5623403563186,4155065
2020-02-26,1191.5888973442406,1195.215389480157,1181.8073323958374,1189.7231228330959,3667867
2020-02-27,1189.8877433781563,1196.5598696842453,1181.517729029299,1189.4139104572446,2563299
2020-02-28,1188.5538703914456,1196.3471476558254,1188.8331128581613,1189.7451738886482,4469401
2020-02-29,1191.3772726244044,1193.52005798523,1185.7765159687447,1190.7207190157706,3461319
2020-03-01,1189.266863107698,1199.7901975845573,1189.6659571777589,1190.2415447779254,4492537
2020-03-02,1190.8429704050038,1197.434854968219,1184.560596978024,1190.0558858012614,4775803
2020-03-03,1190.108146406263,1194.4930913523694,1184.5342458135217,1188.9495508272555,3784433
2020-03-04,1186.9326618848231,1193.8705516655182,1178.8763023755916,1187.7533442031747,2344027
2020-03-05,1189.5292461548133,1192.761870649847,1185.0567199000482,1188.565870025569,3517723
2020-03-06,1190.3348909810763,1192.3994199491515,1188.7514398898638,1189.92211005414,4272744
2020-03-07,1190.672160092554,1193.409826719072,1188.420183112031,1189.8500999325595,1791267
2020-03-08,1192.7504258131055,1198.4320939350953,1183.2385265132768,1190.8536328304515,4690175
2020-03-09,1190.9698807394961,1191.3592037417966,1185.0330882223363,1191.215268855499,1497562
2020-03-10,1189.8164129365366,1191.7308755059632,1189.5589223396662,1190.570149100894,4848693
2020-03-11,1190.042030276777,1191.39157112662,1190.0904766452525,1190.9315447064025,1383934
2020-03-12,1191.653770987903,1192.8768692960582,1185.4598899582772,1192.4695812728685,3004168
2020-03-13,1192.3566535243442,1200.9883610738684,1191.7061251701164,1192.4337552337583,1317428
2020-03-14,1194.3395508643891,1201.0349774833726,1185.7797982966688,1193.9983988895724,2367763
2020-03-15,1191.6553445848128,1196.120392076356,1184.316231513918,1191.3786537854828,2042892
2020-03-16,1193.0277395388941,1193.178897896368,1191.387068483439,1192.200556289858,1690907
2020-03-17,1192.3006052499738,1197.2037621092643,1191.4392262172441,1192.287603358096,2932015
2020-03-18,1193.4421300847878,1196.723313715436,1182.1222002226186,1191.9885960076303,3179996
2020-03-19,1191.8156999509279,1193.812375483266,1188.3376488266047,1192.0803567841658,2600396
2020-03-20,1192.8129570361543,1194.4313043619445,1186.386366398896,1190.0927878695647,4311149
2020-03-21,1190.4987833294924,1193.858163325701,1181.7451203091523,1189.8731159817273,1122402
2020-03-22,1189.373070996823,1196.3887295337613,1180.7577427794006,1190.2302285532392,2166588
2020-03-23,1190.6372300999194,1198.0590591066568,1181.8481119597518,1191.7081225979805,1438661
2020-03-24,1191.67232479495,1191.6428924774275,1183.6560705271174,1191.189852379707,3496081
2020-03-25,1190.157895991488,1194.1274849230786,1186.6187629215046,1190.3813587768138,3677618
2020-03-26,1190.5936022273213,1196.1382008903715,1189.0445945662425,1189.8796017332293,1573695
2020-03-27,1191.268241475505,1195.8263664367323,1183.023534691657,1190.7950038509314,1463556
2020-03-28,1191.0509260479341,1199.6886533724742,1185.539712463233,1191.123754960591,1575278
2020-03-29,1189.7472010387555,1197.1809310730134,1186.3517746643543,1190.593994756824,1993176
2020-03-30,1189.5924149652515,1192.7366064607515,1182.04371833899,1191.1072621899373,2178049
2020-03-31,1190.7578247872184,1191.9100272132896,1190.092364916224,1191.2043397392854,4080201
